State,SIR Average
PR,1.0732000000000002
WV,1.0453333333333334
NM,1.0118333333333334
VT,0.9971666666666668
MS,0.9921666666666668
ID,0.9718333333333332
MI,0.965
DC,0.957
MD,0.9448333333333334
AL,0.907
OK,0.9046666666666666
PA,0.9045
AK,0.9009999999999999
KY,0.8991666666666668
LA,0.8948333333333333
NE,0.8863333333333334
NC,0.8724999999999999
SD,0.872
GA,0.852
OH,0.8518333333333333
WA,0.8516666666666666
ME,0.8368333333333333
MN,0.8333333333333334
NY,0.8228333333333334
SC,0.8131666666666666
NJ,0.8086666666666668
WI,0.8056666666666666
CA,0.8046666666666668
CO,0.8025000000000001
IA,0.8021666666666666
AR,0.7993333333333333
IN,0.7961666666666667
OR,0.7935
MO,0.7895
MA,0.7863333333333333
IL,0.7778333333333333
TN,0.774
NV,0.7705000000000001
KS,0.7663333333333333
NH,0.7588333333333334
MT,0.7581666666666668
ND,0.7503333333333333
TX,0.7345
VA,0.7296666666666667
AZ,0.7294999999999999
UT,0.7290000000000001
DE,0.7160000000000001
FL,0.7085
CT,0.6811666666666666
RI,0.6443333333333333
WY,0.62
HI,0.5998333333333333
AS,
GU,
MP,
VI,
