State,Measure ID,Score,Start Date,End Date
AK,HAI_1_SIR,0.339,10/01/2021,09/30/2022
AK,HAI_2_SIR,0.780,10/01/2021,09/30/2022
AK,HAI_3_SIR,1.129,10/01/2021,09/30/2022
AK,HAI_4_SIR,2.009,10/01/2021,09/30/2022
AK,HAI_5_SIR,0.918,10/01/2021,09/30/2022
AK,HAI_6_SIR,0.231,10/01/2021,09/30/2022
AL,HAI_1_SIR,1.178,10/01/2021,09/30/2022
AL,HAI_2_SIR,0.695,10/01/2021,09/30/2022
AL,HAI_3_SIR,0.688,10/01/2021,09/30/2022
AL,HAI_4_SIR,0.962,10/01/2021,09/30/2022
AL,HAI_5_SIR,1.410,10/01/2021,09/30/2022
AL,HAI_6_SIR,0.509,10/01/2021,09/30/2022
AR,HAI_1_SIR,0.929,10/01/2021,09/30/2022
AR,HAI_2_SIR,0.614,10/01/2021,09/30/2022
AR,HAI_3_SIR,0.966,10/01/2021,09/30/2022
AR,HAI_4_SIR,0.661,10/01/2021,09/30/2022
AR,HAI_5_SIR,1.244,10/01/2021,09/30/2022
AR,HAI_6_SIR,0.382,10/01/2021,09/30/2022
AZ,HAI_1_SIR,0.949,10/01/2021,09/30/2022
AZ,HAI_2_SIR,0.574,10/01/2021,09/30/2022
AZ,HAI_3_SIR,0.670,10/01/2021,09/30/2022
AZ,HAI_4_SIR,0.588,10/01/2021,09/30/2022
AZ,HAI_5_SIR,1.049,10/01/2021,09/30/2022
AZ,HAI_6_SIR,0.547,10/01/2021,09/30/2022
CA,HAI_1_SIR,0.881,10/01/2021,09/30/2022
CA,HAI_2_SIR,0.828,10/01/2021,09/30/2022
CA,HAI_3_SIR,0.928,10/01/2021,09/30/2022
CA,HAI_4_SIR,0.758,10/01/2021,09/30/2022
CA,HAI_5_SIR,0.920,10/01/2021,09/30/2022
CA,HAI_6_SIR,0.513,10/01/2021,09/30/2022
CO,HAI_1_SIR,0.863,10/01/2021,09/30/2022
CO,HAI_2_SIR,0.674,10/01/2021,09/30/2022
CO,HAI_3_SIR,0.997,10/01/2021,09/30/2022
CO,HAI_4_SIR,0.973,10/01/2021,09/30/2022
CO,HAI_5_SIR,0.812,10/01/2021,09/30/2022
CO,HAI_6_SIR,0.496,10/01/2021,09/30/2022
CT,HAI_1_SIR,0.917,10/01/2021,09/30/2022
CT,HAI_2_SIR,0.424,10/01/2021,09/30/2022
CT,HAI_3_SIR,0.846,10/01/2021,09/30/2022
CT,HAI_4_SIR,0.460,10/01/2021,09/30/2022
CT,HAI_5_SIR,0.882,10/01/2021,09/30/2022
CT,HAI_6_SIR,0.558,10/01/2021,09/30/2022
DC,HAI_1_SIR,1.029,10/01/2021,09/30/2022
DC,HAI_2_SIR,0.429,10/01/2021,09/30/2022
DC,HAI_3_SIR,1.265,10/01/2021,09/30/2022
DC,HAI_4_SIR,1.873,10/01/2021,09/30/2022
DC,HAI_5_SIR,0.701,10/01/2021,09/30/2022
DC,HAI_6_SIR,0.445,10/01/2021,09/30/2022
DE,HAI_1_SIR,0.594,10/01/2021,09/30/2022
DE,HAI_2_SIR,0.688,10/01/2021,09/30/2022
DE,HAI_3_SIR,0.776,10/01/2021,09/30/2022
DE,HAI_4_SIR,0.858,10/01/2021,09/30/2022
DE,HAI_5_SIR,0.844,10/01/2021,09/30/2022
DE,HAI_6_SIR,0.536,10/01/2021,09/30/2022
FL,HAI_1_SIR,0.785,10/01/2021,09/30/2022
FL,HAI_2_SIR,0.516,10/01/2021,09/30/2022
FL,HAI_3_SIR,0.742,10/01/2021,09/30/2022
FL,HAI_4_SIR,0.881,10/01/2021,09/30/2022
FL,HAI_5_SIR,0.975,10/01/2021,09/30/2022
FL,HAI_6_SIR,0.352,10/01/2021,09/30/2022
GA,HAI_1_SIR,0.919,10/01/2021,09/30/2022
GA,HAI_2_SIR,0.651,10/01/2021,09/30/2022
GA,HAI_3_SIR,0.768,10/01/2021,09/30/2022
GA,HAI_4_SIR,1.221,10/01/2021,09/30/2022
GA,HAI_5_SIR,1.107,10/01/2021,09/30/2022
GA,HAI_6_SIR,0.446,10/01/2021,09/30/2022
HI,HAI_1_SIR,0.591,10/01/2021,09/30/2022
HI,HAI_2_SIR,0.919,10/01/2021,09/30/2022
HI,HAI_3_SIR,1.016,10/01/2021,09/30/2022
HI,HAI_4_SIR,0.000,10/01/2021,09/30/2022
HI,HAI_5_SIR,0.469,10/01/2021,09/30/2022
HI,HAI_6_SIR,0.604,10/01/2021,09/30/2022
IA,HAI_1_SIR,1.120,10/01/2021,09/30/2022
IA,HAI_2_SIR,0.737,10/01/2021,09/30/2022
IA,HAI_3_SIR,0.735,10/01/2021,09/30/2022
IA,HAI_4_SIR,0.709,10/01/2021,09/30/2022
IA,HAI_5_SIR,0.980,10/01/2021,09/30/2022
IA,HAI_6_SIR,0.532,10/01/2021,09/30/2022
ID,HAI_1_SIR,0.778,10/01/2021,09/30/2022
ID,HAI_2_SIR,0.848,10/01/2021,09/30/2022
ID,HAI_3_SIR,1.334,10/01/2021,09/30/2022
ID,HAI_4_SIR,1.740,10/01/2021,09/30/2022
ID,HAI_5_SIR,0.617,10/01/2021,09/30/2022
ID,HAI_6_SIR,0.514,10/01/2021,09/30/2022
IL,HAI_1_SIR,0.929,10/01/2021,09/30/2022
IL,HAI_2_SIR,0.726,10/01/2021,09/30/2022
IL,HAI_3_SIR,0.831,10/01/2021,09/30/2022
IL,HAI_4_SIR,0.891,10/01/2021,09/30/2022
IL,HAI_5_SIR,0.772,10/01/2021,09/30/2022
IL,HAI_6_SIR,0.518,10/01/2021,09/30/2022
IN,HAI_1_SIR,0.813,10/01/2021,09/30/2022
IN,HAI_2_SIR,0.683,10/01/2021,09/30/2022
IN,HAI_3_SIR,0.897,10/01/2021,09/30/2022
IN,HAI_4_SIR,0.989,10/01/2021,09/30/2022
IN,HAI_5_SIR,0.931,10/01/2021,09/30/2022
IN,HAI_6_SIR,0.464,10/01/2021,09/30/2022
KS,HAI_1_SIR,0.939,10/01/2021,09/30/2022
