"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.178,,10/01/2021,09/30/2022
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.590,,10/01/2021,09/30/2022
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.339,,10/01/2021,09/30/2022
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.507,,10/01/2021,09/30/2022
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.152,,10/01/2021,09/30/2022
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.780,,10/01/2021,09/30/2022
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.700,,10/01/2021,09/30/2022
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.730,,10/01/2021,09/30/2022
AK,HAI_3_SIR,SSI - Colon Surgery,1.129,,10/01/2021,09/30/2022
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.736,,10/01/2021,09/30/2022
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,4.453,,10/01/2021,09/30/2022
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,2.009,,10/01/2021,09/30/2022
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.584,,10/01/2021,09/30/2022
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.380,,10/01/2021,09/30/2022
AK,HAI_5_SIR,MRSA Bacteremia,0.918,,10/01/2021,09/30/2022
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.154,,10/01/2021,09/30/2022
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.334,,10/01/2021,09/30/2022
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.231,,10/01/2021,09/30/2022
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,1.064,,10/01/2021,09/30/2022
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.300,,10/01/2021,09/30/2022
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.178,,10/01/2021,09/30/2022
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.628,,10/01/2021,09/30/2022
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.767,,10/01/2021,09/30/2022
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.695,,10/01/2021,09/30/2022
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.571,,10/01/2021,09/30/2022
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.823,,10/01/2021,09/30/2022
AL,HAI_3_SIR,SSI - Colon Surgery,0.688,,10/01/2021,09/30/2022
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.737,,10/01/2021,09/30/2022
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.235,,10/01/2021,09/30/2022
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.962,,10/01/2021,09/30/2022
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.258,,10/01/2021,09/30/2022
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.575,,10/01/2021,09/30/2022
AL,HAI_5_SIR,MRSA Bacteremia,1.410,,10/01/2021,09/30/2022
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.474,,10/01/2021,09/30/2022
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.545,,10/01/2021,09/30/2022
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.509,,10/01/2021,09/30/2022
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.802,,10/01/2021,09/30/2022
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.070,,10/01/2021,09/30/2022
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.929,,10/01/2021,09/30/2022
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.527,,10/01/2021,09/30/2022
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.710,,10/01/2021,09/30/2022
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.614,,10/01/2021,09/30/2022
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.779,,10/01/2021,09/30/2022
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.184,,10/01/2021,09/30/2022
AR,HAI_3_SIR,SSI - Colon Surgery,0.966,,10/01/2021,09/30/2022
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.392,,10/01/2021,09/30/2022
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.051,,10/01/2021,09/30/2022
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.661,,10/01/2021,09/30/2022
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.047,,10/01/2021,09/30/2022
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.468,,10/01/2021,09/30/2022
AR,HAI_5_SIR,MRSA Bacteremia,1.244,,10/01/2021,09/30/2022
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.339,,10/01/2021,09/30/2022
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.428,,10/01/2021,09/30/2022
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.382,,10/01/2021,09/30/2022
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2021,09/30/2022
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2021,09/30/2022
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2021,09/30/2022
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2021,09/30/2022
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2021,09/30/2022
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2021,09/30/2022
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,10/01/2021,09/30/2022
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.859,,10/01/2021,09/30/2022
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.046,,10/01/2021,09/30/2022
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.949,,10/01/2021,09/30/2022
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.511,,10/01/2021,09/30/2022
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.643,,10/01/2021,09/30/2022
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.574,,10/01/2021,09/30/2022
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.562,,10/01/2021,09/30/2022
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.793,,10/01/2021,09/30/2022
AZ,HAI_3_SIR,SSI - Colon Surgery,0.670,,10/01/2021,09/30/2022
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.389,,10/01/2021,09/30/2022
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.855,,10/01/2021,09/30/2022
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.588,,10/01/2021,09/30/2022
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.917,,10/01/2021,09/30/2022
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.194,,10/01/2021,09/30/2022
AZ,HAI_5_SIR,MRSA Bacteremia,1.049,,10/01/2021,09/30/2022
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.514,,10/01/2021,09/30/2022
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.583,,10/01/2021,09/30/2022
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.547,,10/01/2021,09/30/2022
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.839,,10/01/2021,09/30/2022
