"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.92,14,01/01/2021,12/31/2021
AL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2021,12/31/2021
AR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2021,12/31/2021
AS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2021,12/31/2021
AZ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.94,,01/01/2021,12/31/2021
CA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2021,12/31/2021
CO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2021,12/31/2021
CT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2021,12/31/2021
DC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,14,01/01/2021,12/31/2021
DE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,14,01/01/2021,12/31/2021
FL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2021,12/31/2021
GA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2021,12/31/2021
GU,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2021,12/31/2021
HI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2021,12/31/2021
IA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2021,12/31/2021
ID,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2021,12/31/2021
IL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2021,12/31/2021
IN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2021,12/31/2021
KS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2021,12/31/2021
KY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2021,12/31/2021
LA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.06,,01/01/2021,12/31/2021
MA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2021,12/31/2021
