"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,0,4,0,13
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,6,1,11
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,8,2,9
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,5,0,3,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,12,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,9,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,8,0,11,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,8,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,17,1,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,11,0,9,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,14,8,42
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,46,15,24
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,2,49,16,21
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,16,1,35,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,35,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,40,4,27,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,29,0,39,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,20,0,2,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,50,0,36,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,62,0,24,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,36,0,10,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,83,0,5,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,67,0,21,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,4,14,6,33
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,33,12,24
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,40,17,13
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,54,0,6,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,14,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,34,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,26,0,31,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,0,13,0,3,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,40,0,34,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,49,1,24,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,25,1,14,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,69,1,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,61,0,13,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2019,06/30/2022,Not Available,Not Available,Not Available,Not Available
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,29,4,19
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,6,40,8,21
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,39,17,18
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,51,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,21,1,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,52,1,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,39,0,18,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,0,20,0,4,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,44,0,33,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,52,2,21,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,31,2,25,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,73,5,3,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,60,0,18,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,9,91,29,166
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,22,189,44,65
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,21,152,97,55
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,198,0,60,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,11,90,1,111,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,5,95,2,111,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,174,14,91,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,147,0,148,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,0,82,0,37,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,203,0,114,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,7,248,0,65,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,165,2,93,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),18,287,14,9,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,5,265,0,55,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,5,15,1,40
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,15,31,0,35
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,15,34,1,33
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,36,0,31,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,35,0,31,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,48,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,31,0,30,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,13,0,4,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,34,0,48,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,45,1,35,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,40,0,28,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,75,5,4,,07/01/2021,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,50,0,33,,07/01/2019,06/30/2022,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2019,06/30/2022,1,6,6,12
